Jurdisdiction,Zone_Name,Zone_ID,Area_Name,Timeframe,Temporal_Scale,Report_RoomsAvailable,Report_RoomsRented,RoomType,Report_OccRate,TRPA_TAUs,TRPA_OccRate,Notes
Washoe County,Washoe County,Washoe County,Washoe County Tax District B,2022-06-01,Monthly,0,11499,HotelMotel,0.000000000000000,0.000000000000000,0.000000000000000,Rooms available not provided
Washoe County,Washoe County,Washoe County,Washoe County Tax District B,2022-08-01,Monthly,0,12854,HotelMotel,0.000000000000000,0.000000000000000,0.000000000000000,Rooms available not provided
Washoe County,Washoe County,Washoe County,Washoe County Tax District B,2022-09-01,Monthly,0,11094,HotelMotel,0.000000000000000,0.000000000000000,0.000000000000000,Rooms available not provided
Washoe County,Washoe County,Washoe County,Washoe County Tax District B,2022-06-01,Monthly,0,12099,VHR,0.000000000000000,0.000000000000000,0.000000000000000,Combination of ""timeshare"" and ""vacation rental""
Washoe County,Washoe County,Washoe County,Washoe County Tax District B,2022-08-01,Monthly,0,12611,VHR,0.000000000000000,0.000000000000000,0.000000000000000,Combination of ""timeshare"" and ""vacation rental""
Washoe County,Washoe County,Washoe County,Washoe County Tax District B,2022-09-01,Monthly,0,9571,VHR,0.000000000000000,0.000000000000000,0.000000000000000,Combination of ""timeshare"" and ""vacation rental""
Washoe County,Washoe County,Washoe County,Washoe County Tax District B,Q2 2022,Quarterly,0,1597,VHR,0.000000000000000,0.000000000000000,0.000000000000000,Homeowner rentals only
Washoe County,Washoe County,Washoe County,Washoe County Tax District B,Q3 2022,Quarterly,0,2909,VHR,0.000000000000000,0.000000000000000,0.000000000000000,Homeowner rentals only
Douglas County,Stateline Casino Core,Stateline Casino Core,Casino Core,2022-06-01,Monthly,65375,53052,Casino,0.811502868068834,0.000000000000000,0.000000000000000,Sourced from NV Gaming Abstract
Douglas County,Stateline Casino Core,Stateline Casino Core,Casino Core,2022-08-01,Monthly,68265,55284,Casino,0.809843990331795,0.000000000000000,0.000000000000000,Sourced from NV Gaming Abstract
Douglas County,Stateline Casino Core,Stateline Casino Core,Casino Core,2022-09-01,Monthly,66297,49266,Casino,0.743110547988597,0.000000000000000,0.000000000000000,Sourced from NV Gaming Abstract
Douglas County,Rest of Douglas County,Rest of Douglas County,Non-Casino Douglas County,2022-06-01,Monthly,55769,8307,HotelMotel,0.811502868068834,0.000000000000000,0.000000000000000,"Using Gaming Abstract occupancy rate, do not trust county report rate or rented"
Douglas County,Rest of Douglas County,Rest of Douglas County,Non-Casino Douglas County,2022-08-01,Monthly,74833,23579,HotelMotel,0.809843990331795,0.000000000000000,0.000000000000000,"Using Gaming Abstract occupancy rate, do not trust county report rate or rented"
Douglas County,Rest of Douglas County,Rest of Douglas County,Non-Casino Douglas County,2022-09-01,Monthly,59316,12287,HotelMotel,0.743110547988597,0.000000000000000,0.000000000000000,"Using Gaming Abstract occupancy rate, do not trust county report rate or rented"
Douglas County,Rest of Douglas County,Rest of Douglas County,Non-Casino Douglas County,2022-06-01,Monthly,15239,4256,VHR,0.279283417547083,0.000000000000000,0.000000000000000,"County VHR occupancy rate, don't trust available/rented"
Douglas County,Rest of Douglas County,Rest of Douglas County,Non-Casino Douglas County,2022-08-01,Monthly,5850,3121,VHR,0.533504273504274,0.000000000000000,0.000000000000000,"County VHR occupancy rate, don't trust available/rented"
Douglas County,Rest of Douglas County,Rest of Douglas County,Non-Casino Douglas County,2022-09-01,Monthly,396,209,VHR,0.527777777777778,0.000000000000000,0.000000000000000,"County VHR occupancy rate, don't trust available/rented"
Placer County,Carnelian Bay,Carnelian Bay,Carnelian Bay,Q4 21-22,Quarterly,25387,7997,VHR,0.315003742072714,0.000000000000000,0.000000000000000,
Placer County,Carnelian Bay,Carnelian Bay,Carnelian Bay,Q4 21-22,Quarterly,637,510,HotelMotel,0.800627943485086,0.000000000000000,0.000000000000000,
Placer County,Kings Beach,Kings Beach,Kings Beach,Q4 21-22,Quarterly,15541,5720,VHR,0.368058683482401,0.000000000000000,0.000000000000000,Includes CondoTels (make sure other reporting matches)
Placer County,Kings Beach,Kings Beach,Kings Beach,Q4 21-22,Quarterly,4872,2299,HotelMotel,0.471880131362890,0.000000000000000,0.000000000000000,
Placer County,Kings Beach O.P.A.,Kings Beach O.P.A.,Kings Beach O.P.A.,Q4 21-22,Quarterly,19059,5694,VHR,0.298756492995435,0.000000000000000,0.000000000000000,Includes CondoTels (make sure other reporting matches)
Placer County,Tahoe City,Tahoe City,Tahoe City,Q4 21-22,Quarterly,14158,5408,VHR,0.381974855205537,0.000000000000000,0.000000000000000,Includes CondoTels (make sure other reporting matches)
Placer County,Tahoe City,Tahoe City,Tahoe City,Q4 21-22,Quarterly,9201,5756,HotelMotel,0.625584175633083,0.000000000000000,0.000000000000000,
Placer County,Tahoe City O.P.A.,Tahoe City O.P.A.,Tahoe City O.P.A.,Q4 21-22,Quarterly,21251,6098,VHR,0.286951202296363,0.000000000000000,0.000000000000000,Includes CondoTels (make sure other reporting matches)
Placer County,Tahoe City O.P.A.,Tahoe City O.P.A.,Tahoe City O.P.A.,Q4 21-22,Quarterly,1911,995,HotelMotel,0.520669806384092,0.000000000000000,0.000000000000000,
Placer County,Tahoe Miscellaneous,Tahoe Miscellaneous,Tahoe Miscellaneous,Q4 21-22,Quarterly,1884,432,VHR,0.229299363057325,0.000000000000000,0.000000000000000,
Placer County,Tahoe Vista,Tahoe Vista,Tahoe Vista,Q4 21-22,Quarterly,19015,6045,VHR,0.317906915592953,0.000000000000000,0.000000000000000,Includes CondoTels (make sure other reporting matches)
Placer County,Tahoe Vista,Tahoe Vista,Tahoe Vista,Q4 21-22,Quarterly,18496,8372,HotelMotel,0.452638408304498,0.000000000000000,0.000000000000000,
Placer County,Tahoe Vista O.P.A.,Tahoe Vista O.P.A.,Tahoe Vista O.P.A.,Q4 21-22,Quarterly,2665,941,VHR,0.353095684803002,0.000000000000000,0.000000000000000,
Placer County,West Shore,West Shore,West Shore,Q4 21-22,Quarterly,43858,14791,VHR,0.337247480505267,0.000000000000000,0.000000000000000,Includes CondoTels (make sure other reporting matches)
Placer County,West Shore,West Shore,West Shore,Q4 21-22,Quarterly,5518,2271,HotelMotel,0.411562160202972,0.000000000000000,0.000000000000000,Includes B&Bs
Placer County,Carnelian Bay,Carnelian Bay,Carnelian Bay,Q1 22-23,Quarterly,28678,13808,VHR,0.481484064439640,0.000000000000000,0.000000000000000,
Placer County,Carnelian Bay,Carnelian Bay,Carnelian Bay,Q1 22-23,Quarterly,1932,1800,HotelMotel,0.931677018633540,0.000000000000000,0.000000000000000,
Placer County,Kings Beach,Kings Beach,Kings Beach,Q1 22-23,Quarterly,18038,8397,VHR,0.465517241379310,0.000000000000000,0.000000000000000,Includes CondoTels (make sure other reporting matches)
Placer County,Kings Beach,Kings Beach,Kings Beach,Q1 22-23,Quarterly,58779,5505,HotelMotel,0.093655897514418,0.000000000000000,0.000000000000000,
Placer County,Kings Beach O.P.A.,Kings Beach O.P.A.,Kings Beach O.P.A.,Q1 22-23,Quarterly,19492,8627,VHR,0.442591832546686,0.000000000000000,0.000000000000000,Includes CondoTels (make sure other reporting matches)
Placer County,Tahoe City,Tahoe City,Tahoe City,Q1 22-23,Quarterly,15287,8112,VHR,0.530646954929025,0.000000000000000,0.000000000000000,Includes CondoTels (make sure other reporting matches)
Placer County,Tahoe City,Tahoe City,Tahoe City,Q1 22-23,Quarterly,48334,7406,HotelMotel,0.153225472752100,0.000000000000000,0.000000000000000,
Placer County,Tahoe City O.P.A.,Tahoe City O.P.A.,Tahoe City O.P.A.,Q1 22-23,Quarterly,25048,11254,VHR,0.449297349089748,0.000000000000000,0.000000000000000,Includes CondoTels (make sure other reporting matches)
Placer County,Tahoe City O.P.A.,Tahoe City O.P.A.,Tahoe City O.P.A.,Q1 22-23,Quarterly,1748,1039,HotelMotel,0.594393592677345,0.000000000000000,0.000000000000000,
Placer County,Tahoe Miscellaneous,Tahoe Miscellaneous,Tahoe Miscellaneous,Q1 22-23,Quarterly,2082,975,VHR,0.468299711815562,0.000000000000000,0.000000000000000,
Placer County,Tahoe Vista,Tahoe Vista,Tahoe Vista,Q1 22-23,Quarterly,24648,9988,VHR,0.405225576111652,0.000000000000000,0.000000000000000,Includes CondoTels (make sure other reporting matches)
Placer County,Tahoe Vista,Tahoe Vista,Tahoe Vista,Q1 22-23,Quarterly,15100,12702,HotelMotel,0.841192052980132,0.000000000000000,0.000000000000000,
Placer County,Tahoe Vista O.P.A.,Tahoe Vista O.P.A.,Tahoe Vista O.P.A.,Q1 22-23,Quarterly,3079,1541,VHR,0.500487171159467,0.000000000000000,0.000000000000000,
Placer County,West Shore,West Shore,West Shore,Q1 22-23,Quarterly,47948,22176,VHR,0.462501042796363,0.000000000000000,0.000000000000000,Includes CondoTels (make sure other reporting matches)
Placer County,West Shore,West Shore,West Shore,Q1 22-23,Quarterly,6318,4057,HotelMotel,0.642133586578031,0.000000000000000,0.000000000000000,Inclcudes B&Bs
