POSTMILE,TRAFFIC_ID,DISTRICT,ROUTE,COUNTY,DESCRIPTION,lat,long,site_name,Station_Number,Street_Name,County_1,measure,source,SHAPE
,,,,NA,NA,38.9826425,-119.9447444,.5 mi W of US-50,50039,SR760,Douglas,AADT,NDOT traffic volume counters,"{'x': -13352187.869976407, 'y': 4719185.56446371, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,39.1056186,-119.8890728,1.25 mi E of SR-28,250280,US50,Carson City,AADT,NDOT traffic volume counters,"{'x': -13345990.535896935, 'y': 4736811.842482403, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,39.2496356,-119.9817197,100ft E of SR-28 (Tahoe Bl)-Lakeshore Bl,310761,Lakeshore Bl,Washoe,AADT,NDOT traffic volume counters,"{'x': -13356303.941602306, 'y': 4757493.073610717, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,39.25204111,-119.9727708,100ft E of SR-28 (Tahoe Bl)-SR431,310372,SR431,Washoe,AADT,NDOT traffic volume counters,"{'x': -13355307.754487038, 'y': 4757838.871635397, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,39.2405714,-119.9477942,100ft E of Village Bl,310756,Lakeshore Bl,Washoe,AADT,NDOT traffic volume counters,"{'x': -13352527.372143371, 'y': 4756190.179491841, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,39.2396222,-119.9424311,100ft N of Lakeshore Bl,310736,Country Club Dr,Washoe,AADT,NDOT traffic volume counters,"{'x': -13351930.354552114, 'y': 4756053.750525872, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,39.2455381,-119.9369853,100ft N of SR-28 (Tahoe Bl),310737,Country Club Dr,Washoe,AADT,NDOT traffic volume counters,"{'x': -13351324.130859343, 'y': 4756904.075409468, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,39.2570606,-119.9403908,125ft N of First Green Dr,310738,Country Club Dr,Washoe,AADT,NDOT traffic volume counters,"{'x': -13351703.229403714, 'y': 4758560.473705357, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,39.2306353,-119.9321039,200ft S of the E end of Lakeshore Bl,310382,SR28,Washoe,AADT,NDOT traffic volume counters,"{'x': -13350780.7358913, 'y': 4754762.151183917, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,39.2475464,-119.9603036,225ft E of Mays Bl,310747,Southwood Bl,Washoe,AADT,NDOT traffic volume counters,"{'x': -13353919.912210513, 'y': 4757192.755749199, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,38.9687525,-119.9357992,300ft E of SR-207 (Kingsbury Grade),50041,US50,Douglas,AADT,NDOT traffic volume counters,"{'x': -13351192.094818374, 'y': 4717196.624166171, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,38.9600306,-119.9416567,300ft E of the NV/CA Stateline,50044,US50,Douglas,AADT,NDOT traffic volume counters,"{'x': -13351844.148781858, 'y': 4715947.914914583, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,39.2538381,-119.9513,300ft N of Northwood Bl,310730,Village Bl,Washoe,AADT,NDOT traffic volume counters,"{'x': -13352917.635952102, 'y': 4758097.2009981265, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,39.2469425,-119.9518686,330ft N of Southwood Bl,310733,Village Bl,Washoe,AADT,NDOT traffic volume counters,"{'x': -13352980.9322398, 'y': 4757105.948153202, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,38.9681153,-119.9352172,350ft E of US-50,50042,SR207,Douglas,AADT,NDOT traffic volume counters,"{'x': -13351127.306824828, 'y': 4717105.39149651, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,39.2511781,-119.9746428,450ft N of SR-431 (Mt Rose Hw),310374,SR28,Washoe,AADT,NDOT traffic volume counters,"{'x': -13355516.144715484, 'y': 4757714.810335237, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,39.2518956,-119.9610375,50ft S of Alder Av,310744,Northwood Bl,Washoe,AADT,NDOT traffic volume counters,"{'x': -13354001.609576195, 'y': 4757817.953909009, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,39.2486792,-119.9467236,50ft S of SR-28 (Tahoe Bl),310749,Southwood Bl,Washoe,AADT,NDOT traffic volume counters,"{'x': -13352408.193480214, 'y': 4757355.592131569, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,39.2609428,-119.9577456,50ft W of Barbara St,310770,SR431,Washoe,AADT,NDOT traffic volume counters,"{'x': -13353635.156825017, 'y': 4759118.61426003, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,39.0787014,-119.9427764,600ft W of the road to Glenbrook,50037,US50,Douglas,AADT,NDOT traffic volume counters,"{'x': -13351968.793209622, 'y': 4732951.150805684, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,39.2527458,-119.9510536,75ft E of Village Bl,310742,Northwood Bl,Washoe,AADT,NDOT traffic volume counters,"{'x': -13352890.206784416, 'y': 4757940.174734548, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
0.0,,3,89,ED,ALP/ED CO LINE; LUTHER PASS (ELEV. 7740),38.78763347,-119.9456573,ALPINE-EL DORADO COUNTY LINE,,NA,NA,NA,NA,"{'x': -13352289.493521135, 'y': 4691297.380532669, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
19.54,,3,89,ED,BLISS MEMORIAL STATE PARK,38.9777313,-120.1030746,BLISS MEMORIAL STATE PARK ROAD,,NA,NA,NA,NA,"{'x': -13369813.107087664, 'y': 4718482.274181417, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
4.58,,3,89,ED,BRIDGE RD,38.7959047,-120.0100314,BRIDGE RD,,NA,NA,NA,NA,"{'x': -13359455.585501071, 'y': 4692478.694398676, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
11.0,,3,28,PLA,CAL-NEVA DRIVE,39.22705964,-120.0064929,CAL-NEVA DRIVE,,NA,NA,NA,NA,"{'x': -13359061.681455726, 'y': 4754248.302516943, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
5.81,,3,28,PLA,CARNELIAN BAY RD,39.2263299,-120.0827468,CARNELIAN BAY ROAD,,NA,NA,NA,NA,"{'x': -13367550.226885358, 'y': 4754143.436604641, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
9.88,,3,28,PLA,COON ST,39.23587825,-120.0220475,COON ST,,NA,NA,NA,NA,"{'x': -13360793.211694406, 'y': 4755515.649021935, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
65.619,,3,50,ED,ECHO LAKE RD,38.82430174,-120.044255,ECHO LAKE RD,,NA,NA,NA,NA,"{'x': -13363265.33923493, 'y': 4696535.461276377, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
27.406,,3,89,ED,EL DORADO COUNTY -PLACER COUNTY,39.06741143,-120.1284094,EL DORADO/PLACER COUNTY LINE-ed,,NA,NA,NA,NA,"{'x': -13372633.364168646, 'y': 4731332.2865520995, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
27.406,,3,89,PLA,EL DORADO COUNTY -PLACER COUNTY,39.0674219,-120.1284233,EL DORADO/PLACER COUNTY LINE-pla,,NA,NA,NA,NA,"{'x': -13372634.911461383, 'y': 4731333.787772056, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
11.686,,3,89,ED,FALLEN LEAF LAKE RD,38.93361449,-120.0495203,FALLEN LEAF LAKE ROAD,,NA,NA,NA,NA,"{'x': -13363851.469667053, 'y': 4712166.874000894, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
6.46,,3,89,PLA,FIR AVE (FANNY BRIDGE),39.14121073,-120.1547487,FIR AVENUE (FANNY BRIDGE),,NA,NA,NA,NA,"{'x': -13375565.441679249, 'y': 4741919.02998692, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
7.19,,3,28,PLA,GRANITE RD,39.23667613,-120.0678148,GRANITE ROAD,,NA,NA,NA,NA,"{'x': -13365888.004229661, 'y': 4755630.322365503, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
0.512,,3,28,PLA,GROVE ST,39.17209031,-120.1395773,GROVE STREET,,NA,NA,NA,NA,"{'x': -13373876.569220029, 'y': 4746352.0964157535, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
9.34,,3,28,PLA,"KINGS BEACH, JCT. RTE. 267 N",39.23793089,-120.0314348,"KINGS BEACH, JCT. RTE. 267 NORTH",,NA,NA,NA,NA,"{'x': -13361838.201145455, 'y': 4755810.662541061, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
9.898,,3,267,PLA,JCT. RTE. 28,39.23791372,-120.0315224,"KINGS BEACH, JCT. RTE. 28",,NA,NA,NA,NA,"{'x': -13361847.952741856, 'y': 4755808.194657682, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
9.28,,3,267,PLA,"KINGS BEACH, NORTH AVE",39.24698188,-120.0312084,"KINGS BEACH, NORTH AVE",,NA,NA,NA,NA,"{'x': -13361812.998376036, 'y': 4757111.608710709, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
1.845,,3,28,PLA,LAKE FOREST DRIVE,39.1850172,-120.1218012,LAKE FOREST DRIVE,,NA,NA,NA,NA,"{'x': -13371897.74267341, 'y': 4748208.456199771, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
4.25,,3,28,PLA,LARDIN WAY,39.20739935,-120.0937075,LARDIN WAY,,NA,NA,NA,NA,"{'x': -13368770.366305362, 'y': 4751423.441468222, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
6.23,,3,267,PLA,MARTIS PEAK RD,39.26730327,-120.0747056,MARTIS PEAK ROAD,,NA,NA,NA,NA,"{'x': -13366655.084511863, 'y': 4760033.120564622, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
0.85,,3,89,PLA,MC KINNEY CREEK RD,39.07137057,-120.1426451,MCKINNEY CREEK ROAD,,NA,NA,NA,NA,"{'x': -13374218.075091157, 'y': 4731899.956667262, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
70.621,,3,50,ED,JCT. RTE. 89 S,38.85101964,-120.0223015,"MEYERS, JCT. RTE. 89 SOUTH",,NA,NA,NA,NA,"{'x': -13360821.486759866, 'y': 4700353.825691811, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
71.48,,3,50,ED,"MEYERS, PIONEER TRAIL RD",38.85945499,-120.0121361,"MEYERS, PIONEER TRAIL ROAD",,NA,NA,NA,NA,"{'x': -13359689.879779752, 'y': 4701559.654026912, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
8.56,,3,89,ED,JCT. RTE. 50,38.91347716,-120.0046058,"MEYERS, SOUTH JCT. RTE. 50",,NA,NA,NA,NA,"{'x': -13358851.610469876, 'y': 4709285.485153332, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
8.32,,3,28,PLA,NATIONAL AVE,39.23962,-120.0483998,NATIONAL AVENUE,,NA,NA,NA,NA,"{'x': -13363726.736261776, 'y': 4756053.434412446, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
11.028,,3,28,PLA,NEVADA STATE LINE,39.22737147,-120.0057172,NEVADA STATE LINE-Placer,,NA,NA,NA,NA,"{'x': -13358975.330977235, 'y': 4754293.1136996355, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
22.77,,3,89,ED,RUBICON GLEN DR,39.01531397,-120.1237588,RUBICON GLEN DRIVE,,NA,NA,NA,NA,"{'x': -13372115.661718862, 'y': 4723865.404906037, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
72.71,,3,50,ED,SAWMILL RD,38.87570051,-120.0053813,SAWMILL ROAD,,NA,NA,NA,NA,"{'x': -13358937.938863697, 'y': 4703882.344513436, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
9.1,,3,89,ED,"SOUTH LAKE TAHOE, 10TH",38.91852306,-120.0120205,"SOUTH LAKE TAHOE, 10TH STREET",,NA,NA,NA,NA,"{'x': -13359677.011094442, 'y': 4710007.410696547, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
74.33,,3,50,ED,"SOUTH LAKE TAHOE, H ST",38.89845511,-119.9991227,"SOUTH LAKE TAHOE, H STREET",,NA,NA,NA,NA,"{'x': -13358241.234545471, 'y': 4707136.558442648, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
75.448,,3,50,ED,"SOUTH LAKE TAHOE,   JCT. RTE. 89 NORTH",38.91341642,-120.0044766,"SOUTH LAKE TAHOE, JCT. RTE. 89 NORTH",,NA,NA,NA,NA,"{'x': -13358837.22805165, 'y': 4709276.795356235, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
80.14,,3,50,ED,"SOUTH LAKE TAHOE, PARK AVE",38.95530018,-119.9447007,"SOUTH LAKE TAHOE, PARK AVENUE",,NA,NA,NA,NA,"{'x': -13352183.005342174, 'y': 4715270.727858929, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
80.02,,3,50,ED,"SOUTH LAKE TAHOE,   PIONEER TRAIL ROAD",38.95388083,-119.9461317,"SOUTH LAKE TAHOE, PIONEER TRAIL ROAD",,NA,NA,NA,NA,"{'x': -13352342.303485172, 'y': 4715067.548556522, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
78.42,,3,50,ED,"SOUTH LAKE TAHOE,   RUFUS ALLEN BOULEVARD",38.94542528,-119.9728323,"SOUTH LAKE TAHOE, RUFUS ALLEN BOULEVARD",,NA,NA,NA,NA,"{'x': -13355314.600581605, 'y': 4713857.2243531, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
79.29,,3,50,ED,"SOUTH LAKE TAHOE,   SKI RUN BOULEVARD",38.94854758,-119.9575896,"SOUTH LAKE TAHOE, SKI RUN BOULEVARD",,NA,NA,NA,NA,"{'x': -13353617.79103158, 'y': 4714304.132369443, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
80.44,,3,50,ED,NEVADA STATE LINE,38.95918193,-119.9420896,"SOUTH LAKE TAHOE, STATE   LINE AVENUE; NEVADA STATE LINE",,NA,NA,NA,NA,"{'x': -13351892.33891032, 'y': 4715826.419595207, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
9.71,,3,89,ED,"SOUTH LAKE TAHOE, WEST",38.92188603,-120.0221207,"SOUTH LAKE TAHOE, WEST WAY",,NA,NA,NA,NA,"{'x': -13360801.360175064, 'y': 4710488.585161557, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
13.24,,3,89,ED,SPRING TRACT RD,38.93351678,-120.0769998,SPRING TRACT ROAD,,NA,NA,NA,NA,"{'x': -13366910.47367666, 'y': 4712152.891039496, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
13.72,,3,89,PLA,SQUAW VALLEY ROAD,39.20481327,-120.1994342,SQUAW VALLEY ROAD,,NA,NA,NA,NA,"{'x': -13380539.808785202, 'y': 4751051.923092601, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,39.2493114,-119.9855767,SR-028 (Tahoe Bl) 0.2 mi N of Lakeshore Dr,312240,SR28,Washoe,AADT,NDOT traffic volume counters,"{'x': -13356733.300751485, 'y': 4757446.46999099, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,38.9674914,-119.9225092,SR-207 (Kingsbury Grade) 0.5 mi E of US-50,53150,SR207,Douglas,AADT,NDOT traffic volume counters,"{'x': -13349712.658707067, 'y': 4717016.063766592, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
8.9,,3,89,PLA,TAHOE CITY ST HWY MAINT STA,39.16392737,-120.1498868,TAHOE CITY STATE HWY MAINTENANCE STATION,,NA,NA,NA,NA,"{'x': -13375024.21749346, 'y': 4745180.037192288, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
8.569,,3,89,PLA,"TAHOE CITY, JCT. RTE. 28 E",39.16774238,-120.1451931,"TAHOE CITY, JCT. RTE. 28 EAST",,NA,NA,NA,NA,"{'x': -13374501.717064105, 'y': 4745727.790734173, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
0.085,,3,28,PLA,"TAHOE CITY, JCT. RTE. 89",39.166452,-120.144146,"TAHOE CITY, JCT. RTE. 89",,NA,NA,NA,NA,"{'x': -13374385.154432572, 'y': 4745542.516485365, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
0.83,,3,28,PLA,TAHOE STATE PARK,39.17558933,-120.1358807,TAHOE STATE PARK ENTRANCE,,NA,NA,NA,NA,"{'x': -13373465.065504478, 'y': 4746854.53786164, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
76.407,,3,50,ED,"SOUTH LAKE TAHOE, UPPER   TRUCKEE RIVER BRIDGE",38.92227903,-119.9908239,UPPER TRUCKEE RIVER BRIDGE,,NA,NA,NA,NA,"{'x': -13357317.416389048, 'y': 4710544.817087735, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
70.245,,3,50,ED,UPPER TRUCKEE RIVER RD,38.84769306,-120.0279461,UPPER TRUCKEE RIVER ROAD,,NA,NA,NA,NA,"{'x': -13361449.840786908, 'y': 4699878.332324022, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,38.9658703,-119.9377731,US-50 0.6 mi E of the NV-CA Stateline,52110,US50,Douglas,AADT,NDOT traffic volume counters,"{'x': -13351411.828360913, 'y': 4716783.964242095, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
,,,,NA,NA,39.1205556,-119.8230556,US-50 3.4 mi W of US-395,252120,US50,Carson City,AADT,NDOT traffic volume counters,"{'x': -13338641.534629487, 'y': 4738954.868894215, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
5.812,,3,89,PLA,WARD CREEK BRIDGE,39.13255532,-120.1576282,WARD CREEK BRIDGE,,NA,NA,NA,NA,"{'x': -13375885.98612646, 'y': 4740676.8100497015, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
