APN,BATHROOMS,BEDROOMS,COUNTY_x,COUNTY_LANDUSE_DESCRIPTION_x,EXISTING_LANDUSE_x,JURISDICTION_x,LOCATION_TO_TOWNCENTER_x,Max_Occupancy,OWNERSHIP_TYPE_x,REGIONAL_LANDUSE_x,Rental_Type,WITHIN_BONUSUNIT_BNDY_x,WITHIN_TRPA_BNDY_x,YEAR_BUILT_x,ZONING_DESCRIPTION_x,Residential_Units,TouristAccommodation_Units,CommercialFloorArea_SqFt,YEAR
126-163-11,2,2,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,5,Private,Residential,VHR,1,1,1980,Mt. Shadows,0,0,0,2022
127-071-21,2,2,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,6,Private,Residential,VHR,1,1,1982,Incline Village Residential,0,0,0,2022
127-071-29,2,2,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,6,Private,Residential,VHR,1,1,1982,Incline Village Residential,0,0,0,2022
127-072-17,1,1,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,3,Private,Residential,VHR,1,1,1982,Incline Village Residential,0,0,0,2022
127-073-01,2,2,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,6,Private,Residential,VHR,1,1,1991,Incline Village Residential,0,0,0,2022
127-073-04,2,2,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,6,Private,Residential,VHR,1,1,1991,Incline Village Residential,0,0,0,2022
127-073-18,2,2,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,4,Private,Residential,VHR,1,1,1985,Incline Village Residential,0,0,0,2022
127-073-26,2,2,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,6,Private,Residential,VHR,1,1,1985,Incline Village Residential,0,0,0,2022
127-074-25,1,1,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,3,Private,Residential,VHR,1,1,1985,Incline Village Residential,0,0,0,2022
127-074-26,1,1,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,3,Private,Residential,VHR,1,1,1985,Incline Village Residential,0,0,0,2022
127-075-03,2,2,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,4,Private,Residential,VHR,1,1,1994,Incline Village Residential,0,0,0,2022
127-075-09,2,2,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,6,Private,Residential,VHR,1,1,1994,Incline Village Residential,0,0,0,2022
127-075-12,2,2,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,4,Private,Residential,VHR,1,1,1994,Incline Village Residential,0,0,0,2022
127-075-16,2,2,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,6,Private,Residential,VHR,1,1,1994,Incline Village Residential,0,0,0,2022
127-075-19,2,2,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,6,Private,Residential,VHR,1,1,1993,Incline Village Residential,0,0,0,2022
127-075-32,2,2,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,8,Private,Residential,VHR,1,1,1992,Incline Village Residential,0,0,0,2022
127-076-16,1,1,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,3,Private,Residential,VHR,1,1,1993,Incline Village Residential,0,0,0,2022
127-076-17,1,1,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,3,Private,Residential,VHR,1,1,1993,Incline Village Residential,0,0,0,2022
127-077-04,2,2,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,8,Private,Residential,VHR,1,1,1990,Incline Village Residential,0,0,0,2022
127-077-06,2,2,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,4,Private,Residential,VHR,1,1,1990,Incline Village Residential,0,0,0,2022
127-077-08,2,2,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,4,Private,Residential,VHR,1,1,1990,Incline Village Residential,0,0,0,2022
127-077-11,2,2,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,6,Private,Residential,VHR,1,1,1990,Incline Village Residential,0,0,0,2022
127-077-22,2,2,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,4,Private,Residential,VHR,1,1,1989,Incline Village Residential,0,0,0,2022
127-077-27,2,2,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,6,Private,Residential,VHR,1,1,1989,Incline Village Residential,0,0,0,2022
127-077-29,2,2,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,6,Private,Residential,VHR,1,1,1989,Incline Village Residential,0,0,0,2022
127-077-31,2,2,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,6,Private,Residential,VHR,1,1,1989,Incline Village Residential,0,0,0,2022
127-290-35,1,1,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,3,Private,Residential,VHR,1,1,1971,Incline Village Residential,0,0,0,2022
127-320-09,1,1,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,5,Private,Residential,VHR,1,1,1974,Incline Village Residential,0,0,0,2022
127-480-03,4,4,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,10,Private,Residential,VHR,1,1,1980,Incline Village Residential,0,0,0,2022
127-480-04,4,4,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,10,Private,Residential,VHR,1,1,1980,Incline Village Residential,0,0,0,2022
127-490-05,4,4,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,10,Private,Residential,VHR,1,1,1980,Incline Village Residential,0,0,0,2022
127-490-06,4,4,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,8,Private,Residential,VHR,1,1,1980,Incline Village Residential,0,0,0,2022
127-490-08,4,4,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,4,Private,Residential,VHR,1,1,1980,Incline Village Residential,0,0,0,2022
129-100-02,2.5,3,WA,Condominium or Townhouse,Condominium,WA,Outside Buffer,9,Private,Residential,VHR,0,1,1981,Incline Village #3,0,0,0,2022
129-180-03,3,3,WA,Condominium or Townhouse,Condominium,WA,Outside Buffer,5,Private,Residential,VHR,0,1,1981,Incline Village #3,0,0,0,2022
129-292-11,3.5,4,WA,Condominium or Townhouse,Condominium,WA,Outside Buffer,10,Private,Residential,VHR,1,1,2007,Incline Village #3,0,0,0,2022
129-600-02,3,2,WA,Condominium or Townhouse,Condominium,WA,Outside Buffer,7,Private,Residential,VHR,0,1,1979,Incline Village #3,0,0,0,2022
130-180-09,0,0,WA,"General Commercial: retail, mixed, parking, school",Commercial,WA,Town Center,6,Private,Tourist,VHR,1,1,1974,Incline Village Tourist,0,0,0,2022
130-180-64,0,0,WA,"General Commercial: retail, mixed, parking, school",Commercial,WA,Town Center,4,Private,Tourist,VHR,1,1,1974,Incline Village Tourist,0,0,0,2022
130-192-06,2.5,3,WA,Condominium or Townhouse,Condominium,WA,Town Center,10,Private,Tourist,VHR,1,1,1979,Incline Village Tourist,0,0,0,2022
130-192-09,2,3,WA,Condominium or Townhouse,Condominium,WA,Town Center,8,Private,Tourist,VHR,1,1,1979,Incline Village Tourist,0,0,0,2022
131-170-01,1,2,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,3,Private,Residential,VHR,1,1,1965,Fairway Special Area #1,0,0,0,2022
131-170-05,1,2,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,3,Private,Residential,VHR,1,1,1965,Fairway Special Area #1,0,0,0,2022
132-051-12,1,1,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,4,Private,Residential,VHR,1,1,1978,Incline Village Residential,0,0,0,2022
132-052-06,2,2,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,6,Private,Residential,VHR,1,1,1978,Incline Village Residential,0,0,0,2022
132-052-08,1,1,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,3,Private,Residential,VHR,1,1,1978,Incline Village Residential,0,0,0,2022
132-232-13,8,7,WA,"General Commercial: retail, mixed, parking, school",Commercial,WA,Town Center,8,Private,Mixed-Use,VHR,1,1,1984,Incline Village Commercial,0,0,4049,2022
132-232-13,8,7,WA,"General Commercial: retail, mixed, parking, school",Commercial,WA,Town Center,5,Private,Mixed-Use,VHR,1,1,1984,Incline Village Commercial,0,0,4049,2022
132-380-02,2,2,WA,Condominium or Townhouse,Condominium,WA,Quarter Mile Buffer,6,Private,Residential,VHR,1,1,1964,Incline Village Residential,0,0,0,2022
1418-34-113-012,0,0,DG,Single Family Residence,Single Family Residential,DG,Outside Buffer,8,Private,Residential,VHR,0,1,2021,Lincoln,0,0,0,2022
1418-34-110-054,0,0,DG,Single Family Residence,Single Family Residential,DG,Outside Buffer,10,Private,Residential,VHR,0,1,2005,Lincoln,0,0,0,2022
1318-15-710-003,0,0,DG,Single Family Residence,Single Family Residential,DG,Outside Buffer,10,Private,Residential,VHR,1,1,2005,Round Hill Residential,0,0,0,2022
1318-10-415-024,0,0,DG,Single Family Residence,Single Family Residential,DG,Outside Buffer,8,Private,Residential,VHR,0,1,2010,Marla Bay/Zephyr Heights,0,0,0,2022
1319-30-710-016,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1980,,0,0,0,2022
1319-30-710-010,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,4,Private,,VHR,0,0,1980,,0,0,0,2022
1319-30-615-006,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,8,Private,Residential,VHR,1,1,1977,Tahoe Village,0,0,0,2022
1319-30-615-003,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,4,Private,Residential,VHR,1,1,1977,Tahoe Village,0,0,0,2022
1319-30-622-004,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,6,Private,Recreation,VHR,1,1,1978,Heavenly Valley Nevada,0,0,0,2022
1319-30-710-014,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,1,1980,,0,0,0,2022
1319-30-710-007,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,6,Private,Recreation,VHR,1,1,1980,Heavenly Valley Nevada,0,0,0,2022
1319-30-614-004,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,6,Private,Residential,VHR,1,1,1979,Tahoe Village,0,0,0,2022
1319-30-539-003,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1980,,0,0,0,2022
1319-30-514-014,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,4,Private,Residential,VHR,1,1,1980,Tahoe Village,0,0,0,2022
1319-30-614-002,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,9,Private,Residential,VHR,1,1,1979,Tahoe Village,0,0,0,2022
1319-30-540-007,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,4,Private,,VHR,0,0,1980,,0,0,0,2022
1319-30-540-005,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,2,Private,,VHR,0,0,1980,,0,0,0,2022
1319-30-540-003,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1980,,0,0,0,2022
1319-30-540-001,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1980,,0,0,0,2022
1319-30-640-001,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,4,Private,,VHR,0,0,1978,,0,0,0,2022
1319-30-514-001,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,4,Private,Residential,VHR,1,1,1980,Tahoe Village,0,0,0,2022
1319-30-626-001,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,6,Private,Residential,VHR,1,1,1977,Tahoe Village,0,0,0,2022
1319-30-621-006,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,6,Private,Recreation,VHR,1,1,1979,Heavenly Valley Nevada,0,0,0,2022
1319-30-620-001,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1977,,0,0,0,2022
1319-30-621-004,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,6,Private,Recreation,VHR,1,1,1979,Heavenly Valley Nevada,0,0,0,2022
1319-30-613-004,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1977,,0,0,0,2022
1319-30-613-001,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1977,,0,0,0,2022
1319-30-611-007,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,6,Private,Residential,VHR,1,1,1980,Tahoe Village,0,0,0,2022
1319-30-611-001,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,8,Private,Residential,VHR,1,1,1980,Tahoe Village,0,0,0,2022
1319-30-641-001,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,4,Private,,VHR,0,0,1978,,0,0,0,2022
1319-30-641-003,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,4,Private,,VHR,0,0,1978,,0,0,0,2022
1319-30-642-008,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1980,,0,0,0,2022
1319-30-642-007,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,4,Private,,VHR,0,0,1980,,0,0,0,2022
1319-30-642-006,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1980,,0,0,0,2022
1319-30-642-005,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1980,,0,0,0,2022
1319-30-642-003,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,4,Private,,VHR,0,0,1980,,0,0,0,2022
1319-30-642-004,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,4,Private,,VHR,0,0,1980,,0,0,0,2022
1319-30-624-001,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,10,Private,Residential,VHR,1,1,1977,Tahoe Village,0,0,0,2022
1319-30-540-002,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1980,,0,0,0,2022
1319-30-514-008,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,4,Private,Residential,VHR,1,1,1980,Tahoe Village,0,0,0,2022
1319-30-514-005,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,6,Private,Residential,VHR,1,1,1980,Tahoe Village,0,0,0,2022
1319-30-514-004,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,4,Private,Residential,VHR,1,1,1980,Tahoe Village,0,0,0,2022
1319-30-532-012,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,4,Private,,VHR,0,0,1978,,0,0,0,2022
1319-30-532-009,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,4,Private,,VHR,0,0,1978,,0,0,0,2022
1319-30-532-006,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,2,Private,,VHR,0,0,1978,,0,0,0,2022
1319-30-628-003,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,4,Private,,VHR,0,0,1974,,0,0,0,2022
1319-30-628-004,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,4,Private,,VHR,0,0,1974,,0,0,0,2022
1319-30-634-002,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,10,Private,,VHR,0,0,1979,,0,0,0,2022
1319-30-638-004,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1981,,0,0,0,2022
1319-30-638-001,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1981,,0,0,0,2022
1319-30-628-006,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,2,Private,,VHR,0,0,1974,,0,0,0,2022
1319-30-628-021,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,4,Private,,VHR,0,0,1974,,0,0,0,2022
1319-30-628-017,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,4,Private,,VHR,0,0,1974,,0,0,0,2022
1319-30-628-008,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,4,Private,,VHR,0,0,1974,,0,0,0,2022
1319-30-526-001,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,10,Private,,VHR,0,0,1980,,0,0,0,2022
1319-30-522-004,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,8,Private,Residential,VHR,1,1,1985,Tahoe Village,0,0,0,2022
1319-30-522-002,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,8,Private,Residential,VHR,1,1,1985,Tahoe Village,0,0,0,2022
1319-30-628-001,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,4,Private,,VHR,0,0,1974,,0,0,0,2022
1319-30-628-013,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,4,Private,,VHR,0,0,1974,,0,0,0,2022
1319-30-526-002,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,10,Private,,VHR,0,0,1980,,0,0,0,2022
1319-30-526-004,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1980,,0,0,0,2022
1319-30-523-002,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1975,,0,0,0,2022
1319-30-520-028,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,6,Private,Residential,VHR,1,1,1982,Tahoe Village,0,0,0,2022
1319-30-518-001,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1979,,0,0,0,2022
1319-30-516-043,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1980,,0,0,0,2022
1319-30-718-003,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1980,,0,0,0,2022
1319-30-716-002,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,4,Private,,VHR,0,0,1979,,0,0,0,2022
1319-30-716-001,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1979,,0,0,0,2022
1319-30-715-001,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1980,,0,0,0,2022
1319-30-714-002,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1980,,0,0,0,2022
1319-30-714-004,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1987,,0,0,0,2022
1319-30-635-004,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1974,,0,0,0,2022
1319-30-635-002,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1974,,0,0,0,2022
1319-30-636-004,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1974,,0,0,0,2022
1319-30-636-002,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1974,,0,0,0,2022
1319-30-633-002,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1974,,0,0,0,2022
1319-30-628-024,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,4,Private,,VHR,0,0,1974,,0,0,0,2022
1319-30-628-011,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,4,Private,,VHR,0,0,1974,,0,0,0,2022
1319-30-530-004,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,4,Private,,VHR,0,0,1975,,0,0,0,2022
1319-30-530-002,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1975,,0,0,0,2022
1319-30-530-001,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1975,,0,0,0,2022
1319-30-530-003,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1975,,0,0,0,2022
1319-30-529-001,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,4,Private,,VHR,0,0,1974,,0,0,0,2022
1319-30-524-001,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1975,,0,0,0,2022
1319-30-520-007,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,4,Private,Residential,VHR,1,1,1982,Tahoe Village,0,0,0,2022
1319-30-517-004,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1980,,0,0,0,2022
1319-30-516-003,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1973,,0,0,0,2022
1319-30-516-029,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1973,,0,0,0,2022
1319-30-516-031,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1973,,0,0,0,2022
1319-30-516-036,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,10,Private,,VHR,0,0,1977,,0,0,0,2022
1319-30-627-019,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1979,,0,0,0,2022
1319-30-627-013,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1980,,0,0,0,2022
1319-30-712-007,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1980,,0,0,0,2022
1319-30-719-009,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1981,,0,0,0,2022
1319-30-719-007,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1981,,0,0,0,2022
1319-30-719-003,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1981,,0,0,0,2022
1319-19-720-017,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1982,,0,0,0,2022
1319-19-720-004,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,6,Private,,VHR,0,0,1982,,0,0,0,2022
1319-19-720-008,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1978,,0,0,0,2022
1319-19-213-003,0,0,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,Outside Buffer,4,Private,Residential,VHR,1,1,1969,Upper Kingsbury,0,0,0,2022
1319-19-718-003,N/A,N/A,DG,Individual Residential Unit - Townhouse or Row House,Single Family Residential,DG,,8,Private,,VHR,0,0,1979,,0,0,0,2022
1319-19-710-027,0,0,DG,Duplex,Multi-Family Residential,DG,,8,Private,,VHR,0,1,1973,,0,0,0,2022
